UF;populacao_municipio_2010_sinopse;populacao_2010_compatibilizada;populacao_censo_2022;crescimento_2022_2010
SP;41262199;41262199;44411238;3149039
SC;6248436;6248436;7610361;1361925
GO;6003788;6001789;7056495;1054706
PR;10444526;10444526;11444380;999854
MG;19597330;19597330;20539989;942659
MT;3035122;3035122;3658649;623527
PA;7581051;7581051;8120131;539080
AM;3483985;3483985;3941613;457628
CE;8452381;8451644;8794957;343313
ES;3514952;3514952;3833712;318760
MS;2449024;2449024;2757013;307989
PE;8796448;8796055;9058931;262876
DF;2570160;2572159;2817381;245222
PB;3766528;3766528;3974687;208159
MA;6574789;6574789;6776699;201910
RS;10693929;10693929;10882965;189036
RR;450479;450479;636707;186228
PI;3118360;3119097;3271199;152102
SE;2068017;2067852;2210004;142152
RN;3168027;3168027;3302729;134702
TO;1383445;1383445;1511460;128015
BA;14016906;14017071;14141626;124555
AC;733559;733559;830018;96459
RJ;15989929;15989929;16055174;65245
AP;669526;669526;733759;64233
RO;1562409;1562409;1581196;18787
AL;3120494;3120887;3127683;6796
